Path,Sample,ReferenceGenome,ProviderName,Subject
/scratch/mit_lieberman/raw_data/2018/2018_03_06_Lie_3090G/,001-N,Saureus_USA300_FPR3757,D18-135098,1
/scratch/mit_lieberman/raw_data/2018/2018_03_06_Lie_3090G/,019-N4,Saureus_USA300_FPR3757,D18-135100,11
